eventName,eventSource,username,awsRegion,hour,day_of_week,month,is_weekend,is_root,is_error,is_access_denied,is_mfa_false,is_iam_event,is_cloudtrail_event,is_console_login,is_s3_event,is_ec2_event,is_from_unknown_ip,is_us_east_1,risk_score,source_ip_is_real,source_ip_is_service,user_agent_is_console,user_agent_is_cli,user_agent_is_sdk,eventTime,sourceIPAddress,risk_level,user_total_events,user_hour_count,user_dayofweek_count,user_event_count,user_source_count,user_ip_count,user_region_count,global_event_count,global_source_count,global_ip_count,user_unique_ip_count,user_unique_region_count,user_unique_event_count,user_event_ratio,user_source_ratio,user_ip_ratio,user_region_ratio,user_hour_ratio,is_rare_event_for_user,is_rare_source_for_user,is_rare_ip_for_user,is_rare_region_for_user,is_rare_hour_for_user,is_globally_rare_event,is_globally_rare_ip,behavior_risk_score,is_internal_service_ip,is_service_user,is_human_user,is_automation_activity,is_human_activity,is_root_human_activity,is_suspicious_access_denied_human,refined_risk_score,review_priority,prediction,anomaly_score,is_anomaly,strict_automation_user,strict_automation_ip,strict_human_user,strict_automation_activity,strict_human_activity,final_is_human_alert,final_alert_score,final_alert_label
ListBuckets,s3.amazonaws.com,flaws,us-east-1,21,5,2,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-02-17 21:26:47+00:00,3.99.7.3,high,16725,3608,937,842,880,1,13696,11259,76117,56,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.2157249626307922,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0581828314516148,1,0,0,1,0,1,1,14.81828314516148,high
GetUser,iam.amazonaws.com,flaws,us-east-1,12,5,4,1,0,1,1,1,1,0,0,0,0,0,1,5,1,0,0,1,1,2020-04-18 12:10:43+00:00,176.31.0.251,high,16725,104,937,165,1007,1,13696,2828,50905,1,651,16,34,0.0098654708520179,0.0602092675635276,5.979073243647235e-05,0.8188938714499253,0.0062182361733931,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0479693487826996,1,0,0,1,0,1,1,14.79693487826996,high
GetUser,iam.amazonaws.com,flaws,us-east-1,4,5,3,1,0,1,1,1,1,0,0,0,0,0,1,5,1,0,0,1,1,2020-03-07 04:34:20+00:00,6.45.14.58,high,16725,179,937,165,1007,1,13696,2828,50905,4,651,16,34,0.0098654708520179,0.0602092675635276,5.979073243647235e-05,0.8188938714499253,0.0107025411061285,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0477232183297483,1,0,0,1,0,1,1,14.77232183297483,high
ListBuckets,s3.amazonaws.com,flaws,us-west-1,20,5,1,1,0,1,1,1,0,0,0,1,0,0,0,5,1,0,0,1,1,2018-01-20 20:44:19+00:00,56.3.70.207,high,16725,823,937,842,880,2,120,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.0071748878923766,0.0492077727952167,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0476797749634048,1,0,0,1,0,1,1,14.76797749634048,high
ListBuckets,s3.amazonaws.com,flaws,us-west-1,20,5,1,1,0,1,1,1,0,0,0,1,0,0,0,5,1,0,0,1,1,2018-01-20 20:44:33+00:00,56.3.70.207,high,16725,823,937,842,880,2,120,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.0071748878923766,0.0492077727952167,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0476797749634048,1,0,0,1,0,1,1,14.76797749634048,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,16,3,9,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-09-14 16:49:24+00:00,243.7.169.113,high,16725,1694,6360,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1012855007473841,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0472346840578287,1,0,0,1,0,1,1,14.72346840578287,high
ListBuckets,s3.amazonaws.com,flaws,ap-southeast-1,8,6,8,1,0,1,1,1,0,0,0,1,0,0,0,5,1,0,0,1,1,2020-08-02 08:39:23+00:00,11.109.254.4,high,16725,78,3093,842,880,1,104,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.0062182361733931,0.0046636771300448,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0472027169032548,1,0,0,1,0,1,1,14.72027169032548,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,7,4,1,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-01-12 07:42:45+00:00,110.24.231.221,high,16725,86,437,842,880,1,13696,11259,76117,10,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0051420029895366,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0471830695566451,1,0,0,1,0,1,1,14.71830695566451,high
GetUser,iam.amazonaws.com,flaws,us-east-1,9,0,9,0,0,1,1,1,1,0,0,0,0,0,1,5,1,0,0,1,0,2020-09-28 09:30:17+00:00,255.251.180.251,high,16725,73,904,165,1007,1,13696,2828,50905,10,651,16,34,0.0098654708520179,0.0602092675635276,5.979073243647235e-05,0.8188938714499253,0.0043647234678624,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0469723513929701,1,0,0,1,0,1,1,14.69723513929701,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,20,3,3,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-03-09 20:40:59+00:00,221.220.0.128,high,16725,823,6360,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0492077727952167,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0468627797678263,1,0,0,1,0,1,1,14.68627797678263,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,12,0,2,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-02-24 12:53:36+00:00,250.138.250.75,high,16725,104,904,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0062182361733931,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0467596810343589,1,0,0,1,0,1,1,14.67596810343589,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,20,2,7,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-07-03 20:33:58+00:00,190.220.99.247,high,16725,823,1926,842,880,2,13696,11259,76117,10,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0492077727952167,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0465834701211734,1,0,0,1,0,1,1,14.65834701211734,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,21,6,8,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-08-20 21:38:19+00:00,97.84.219.1,high,16725,3608,3093,842,880,2,13696,11259,76117,73,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.2157249626307922,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0563356333910106,1,0,0,1,0,1,1,14.633563339101059,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,22,6,6,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-06-11 22:39:38+00:00,88.1.18.81,high,16725,2754,3093,842,880,2,13696,11259,76117,14,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.1646636771300448,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0563356333910106,1,0,0,1,0,1,1,14.633563339101059,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,18,1,11,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-11-12 18:54:20+00:00,250.147.3.216,high,16725,143,3068,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0085500747384155,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0459543068462456,1,0,0,1,0,1,1,14.59543068462456,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,19,1,7,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-07-30 19:59:48+00:00,40.14.207.253,high,16725,583,3068,842,880,2,13696,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0348579970104633,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0459543068462456,1,0,0,1,0,1,1,14.59543068462456,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,21,5,11,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-11-24 21:17:09+00:00,16.12.99.2,high,16725,3608,937,842,880,1,13696,11259,76117,584,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.2157249626307922,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.055733589104945,1,0,0,1,0,1,1,14.5733589104945,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,19,3,4,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-04-16 19:03:58+00:00,15.223.110.161,high,16725,583,6360,842,880,2,13696,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0348579970104633,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0455596963769456,1,0,0,1,0,1,1,14.55596963769456,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,18,3,7,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-07-23 18:01:36+00:00,146.123.191.204,high,16725,143,6360,842,880,2,13696,11259,76117,8,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0085500747384155,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0455596963769456,1,0,0,1,0,1,1,14.55596963769456,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,7,4,10,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-10-02 07:26:14+00:00,55.169.158.6,high,16725,86,437,842,880,2,13696,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.0051420029895366,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.045507374827527,1,0,0,1,0,1,1,14.5507374827527,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,9,0,6,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-06-05 09:46:16+00:00,7.253.101.0,high,16725,73,904,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0043647234678624,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0454794890950311,1,0,0,1,0,1,1,14.54794890950311,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,21,5,10,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-10-27 21:17:12+00:00,201.6.6.135,high,16725,3608,937,842,880,1,13696,11259,76117,49,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.2157249626307922,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0552491873783181,1,0,0,1,0,1,1,14.52491873783181,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,22,5,7,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-07-08 22:49:10+00:00,0.18.168.119,high,16725,2754,937,842,880,1,13696,11259,76117,459,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.1646636771300448,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0549314109562617,1,0,0,1,0,1,1,14.493141095626171,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,13,3,1,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2019-01-03 13:38:18+00:00,9.161.140.251,high,16725,109,6360,842,880,1,13696,11259,76117,2,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0445082586941613,1,0,0,1,0,1,1,14.45082586941613,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,22,5,8,1,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-08-19 22:05:14+00:00,2.8.255.245,high,16725,2754,937,842,880,2,13696,11259,76117,80,651,16,34,0.0503437967115097,0.0526158445440956,0.0001195814648729,0.8188938714499253,0.1646636771300448,0,0,1,0,0,0,0,2,0,0,1,0,1,0,1,9,high,-1,-0.0544476642655051,1,0,0,1,0,1,1,14.44476642655051,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,14,0,11,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-11-05 14:51:27+00:00,66.129.9.65,high,16725,109,904,842,880,1,13696,11259,76117,3,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0442974209879765,1,0,0,1,0,1,1,14.42974209879765,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,11,0,8,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2020-08-17 11:52:35+00:00,224.180.2.179,high,16725,86,904,842,880,1,13696,11259,76117,6,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0051420029895366,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0442974209879765,1,0,0,1,0,1,1,14.42974209879765,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,9,2,7,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2018-07-18 09:59:47+00:00,253.46.255.243,high,16725,73,1926,842,880,1,13696,11259,76117,1,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0043647234678624,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0440193375546289,1,0,0,1,0,1,1,14.40193375546289,high
GetUser,iam.amazonaws.com,flaws,us-east-1,13,3,9,0,0,1,1,1,1,0,0,0,0,0,1,5,1,0,0,1,0,2020-09-24 13:37:16+00:00,5.251.6.67,high,16725,109,6360,165,1007,1,13696,2828,50905,5,651,16,34,0.0098654708520179,0.0602092675635276,5.979073243647235e-05,0.8188938714499253,0.0065171898355754,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.043972676804905,1,0,0,1,0,1,1,14.3972676804905,high
ListBuckets,s3.amazonaws.com,flaws,us-east-1,8,1,3,0,0,1,1,1,0,0,0,1,0,0,1,5,1,0,0,1,1,2017-03-07 08:36:02+00:00,98.208.175.254,high,16725,78,3068,842,880,1,13696,11259,76117,10,651,16,34,0.0503437967115097,0.0526158445440956,5.979073243647235e-05,0.8188938714499253,0.0046636771300448,0,0,1,0,0,0,1,3,0,0,1,0,1,0,1,10,high,-1,-0.0439039311658239,1,0,0,1,0,1,1,14.390393116582391,high
